acl	2.3.1-4.el9.x86_64
alternatives	1.24-2.el9.x86_64
attr	2.5.1-3.el9.x86_64
audit	3.1.5-7.el9.x86_64
audit-libs	3.1.5-7.el9.x86_64
authselect	1.2.6-3.el9.x86_64
authselect-compat	1.2.6-3.el9.x86_64
authselect-libs	1.2.6-3.el9.x86_64
autoconf	2.69-41.el9.noarch
automake	1.16.2-8.el9.noarch
avahi-libs	0.8-23.el9.x86_64
basesystem	11-13.el9.0.1.noarch
bash	5.1.8-9.el9.x86_64
bash-completion	2.11-5.el9.noarch
bind-libs	9.16.23-34.el9_7.1.x86_64
bind-license	9.16.23-34.el9_7.1.noarch
bind-utils	9.16.23-34.el9_7.1.x86_64
binutils	2.35.2-67.el9_7.1.x86_64
binutils-gold	2.35.2-67.el9_7.1.x86_64
bison	3.7.4-5.el9.x86_64
bzip2-libs	1.0.8-10.el9_5.x86_64
ca-certificates	2025.2.80_v9.0.305-91.el9.noarch
c-ares	1.19.1-2.el9_4.x86_64
chrony	4.6.1-2.el9.x86_64
cmake	3.26.5-3.el9_7.x86_64
cmake-data	3.26.5-3.el9_7.noarch
cmake-filesystem	3.26.5-3.el9_7.x86_64
cmake-rpm-macros	3.26.5-3.el9_7.noarch
coreutils	8.32-39.el9.x86_64
coreutils-common	8.32-39.el9.x86_64
cpio	2.13-16.el9.x86_64
cpp	11.5.0-11.el9.x86_64
cracklib	2.9.6-27.el9.x86_64
cracklib-dicts	2.9.6-27.el9.x86_64
cronie	1.5.7-15.el9.x86_64
cronie-anacron	1.5.7-15.el9.x86_64
crontabs	1.11-27.20190603git.el9.noarch
crypto-policies	20250905-1.git377cc42.el9.noarch
crypto-policies-scripts	20250905-1.git377cc42.el9.noarch
cryptsetup-libs	2.7.2-4.el9.x86_64
curl	7.76.1-35.el9_7.3.x86_64
cyrus-sasl-lib	2.1.27-21.el9.x86_64
dbus	1.12.20-8.el9.x86_64
dbus-broker	28-7.el9.x86_64
dbus-common	1.12.20-8.el9.noarch
dbus-libs	1.12.20-8.el9.x86_64
dbus-tools	1.12.20-8.el9.x86_64
dejavu-sans-fonts	2.37-18.el9.noarch
device-mapper	1.02.206-2.el9_7.1.x86_64
device-mapper-event	1.02.206-2.el9_7.1.x86_64
device-mapper-event-libs	1.02.206-2.el9_7.1.x86_64
device-mapper-libs	1.02.206-2.el9_7.1.x86_64
device-mapper-persistent-data	1.1.0-1.el9.x86_64
diffutils	3.7-12.el9.x86_64
dmidecode	3.6-1.el9.x86_64
dnf	4.14.0-31.el9.rocky.0.1.noarch
dnf-data	4.14.0-31.el9.rocky.0.1.noarch
dnf-plugins-core	4.3.0-24.el9_7.noarch
dos2unix	7.4.2-4.el9.x86_64
dracut	057-104.git20250919.el9_7.x86_64
dracut-config-rescue	057-104.git20250919.el9_7.x86_64
dracut-network	057-104.git20250919.el9_7.x86_64
dracut-squash	057-104.git20250919.el9_7.x86_64
e2fsprogs	1.46.5-8.el9.x86_64
e2fsprogs-libs	1.46.5-8.el9.x86_64
ed	1.14.2-12.el9.x86_64
elfutils-debuginfod-client	0.193-1.el9.rocky.0.1.x86_64
elfutils-default-yama-scope	0.193-1.el9.rocky.0.1.noarch
elfutils-libelf	0.193-1.el9.rocky.0.1.x86_64
elfutils-libelf-devel	0.193-1.el9.rocky.0.1.x86_64
elfutils-libs	0.193-1.el9.rocky.0.1.x86_64
emacs-filesystem	27.2-18.el9.noarch
epel-release	9-10.el9.noarch
ethtool	6.15-2.el9.x86_64
expat	2.5.0-5.el9_7.1.x86_64
file	5.39-16.el9.x86_64
file-libs	5.39-16.el9.x86_64
filesystem	3.16-5.el9.x86_64
findutils	4.8.0-7.el9.x86_64
firewalld	1.3.4-18.el9_7.noarch
firewalld-filesystem	1.3.4-18.el9_7.noarch
flex	2.6.4-9.el9.x86_64
fonts-filesystem	2.0.5-7.el9.1.noarch
freetype	2.10.4-10.el9_5.x86_64
fstrm	0.6.1-3.el9.x86_64
fuse-libs	2.9.9-17.el9.x86_64
gawk	5.1.0-6.el9.x86_64
gawk-all-langpacks	5.1.0-6.el9.x86_64
gcc	11.5.0-11.el9.x86_64
gcc-c++	11.5.0-11.el9.x86_64
gdbm-libs	1.23-1.el9.x86_64
gettext	0.21-8.el9.x86_64
gettext-libs	0.21-8.el9.x86_64
glib2	2.68.4-18.el9_7.1.x86_64
glibc	2.34-231.el9_7.10.x86_64
glibc-common	2.34-231.el9_7.10.x86_64
glibc-devel	2.34-231.el9_7.10.x86_64
glibc-gconv-extra	2.34-231.el9_7.10.x86_64
glibc-headers	2.34-231.el9_7.10.x86_64
glibc-langpack-en	2.34-231.el9_7.10.x86_64
gmp	6.2.0-13.el9.x86_64
gnupg2	2.3.3-5.el9_7.x86_64
gnutls	3.8.3-10.el9_7.x86_64
gobject-introspection	1.68.0-11.el9.x86_64
gpgme	1.15.1-6.el9.x86_64
gpg-pubkey	3228467c-613798eb.(none)
gpg-pubkey	350d275d-6279464b.(none)
gpm-libs	1.20.7-29.el9.x86_64
graphite2	1.3.14-9.el9.x86_64
grep	3.6-5.el9.x86_64
groff-base	1.22.4-10.el9.0.1.x86_64
grub2-common	2.06-114.el9_7.0.1.noarch
grub2-pc	2.06-114.el9_7.0.1.x86_64
grub2-pc-modules	2.06-114.el9_7.0.1.noarch
grub2-tools	2.06-114.el9_7.0.1.x86_64
grub2-tools-efi	2.06-114.el9_7.0.1.x86_64
